Entity,Code,Year,Renewables per capita (kWh)
Colombia,COL,1988,2.164177
Colombia,COL,1989,2.315554
Colombia,COL,1990,2.3302579999999997
Colombia,COL,1991,2.303578
Colombia,COL,1992,1.8253789999999999
Colombia,COL,1993,2.235886
Colombia,COL,1994,2.5248049999999997
Colombia,COL,1995,2.4761680000000004
Colombia,COL,1996,2.6809540000000003
Colombia,COL,1997,2.353261
Colombia,COL,1998,2.267296
Colombia,COL,1999,2.432946
Colombia,COL,2000,2.194856
Colombia,COL,2001,2.202757
Colombia,COL,2002,2.3118600000000002
Colombia,COL,2003,2.408723
Colombia,COL,2004,2.49991
Colombia,COL,2005,2.509353
Colombia,COL,2006,2.671005
Colombia,COL,2007,2.722794
Colombia,COL,2008,2.790016
Colombia,COL,2009,2.460407
Colombia,COL,2010,2.4110709999999997
Colombia,COL,2011,2.836884
Colombia,COL,2012,2.75359
Colombia,COL,2013,2.5284299999999997
Colombia,COL,2014,2.5301810000000002
Colombia,COL,2015,2.488157
Colombia,COL,2016,2.557325
